Equipo,Componente,Id,Resultado,Horas Funcionamiento,Horas del Aceite,Fecha de Análisis,B,Nit,Oxi,Sul,St,V,Al,Cr,Cu,Fe,Pb,Mo,Ni,Sn,Si,K,Na,W,F,A,ISO,PQI,Ba,Ca,Mg,Mn,P,Zn,Ag,Ti,V40,V100,TBN,TAN,ISO14,ISO4,ISO6
1359,Mando Final TD,254276,3,46670,2374,2018-10-06 00:00:00.000,81.7,NULL,NULL,NULL,NULL,0.1,0.1,0.3,63.7,39.1,7.3,0.8,0.8,3.9,5.3,0.6,8.2,NULL,NULL,NULL,NULL,8,0.1,274,4.1,0.3,174,52.9,0.1,0.4,23.96,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TD,271505,3,48626,326,2019-02-12 00:00:00.000,73.6,NULL,NULL,NULL,NULL,0.1,0.1,0.2,27.7,16.1,1.8,0.1,0.2,0.1,3,0.1,5.6,NULL,NULL,NULL,18/15/12,0,0.1,468,3.4,0.1,330,177,0.1,0.1,20.97,NULL,NULL,NULL,NULL,NULL,NULL
1359,Mando Final TD,275598,3,48940,640,2019-03-03 00:00:00.000,73,NULL,NULL,NULL,NULL,0.1,0.1,0.3,39.5,22.7,3.4,0.6,0.5,0.1,1.4,0.2,5.5,NULL,NULL,NULL,19/17/13,0,0.1,460,3.4,0.1,293,192,0.1,0.1,20.99,NULL,NULL,NULL,NULL,NULL,NULL
1355,Diferencial Trasero,273576,1,21950,409,2019-02-20 00:00:00.000,97,4,8,12,0,0,0,0,16,16,2,0,1,0,7,0,9,N,NULL,NULL,22/19/13,14,0,343,2,0,310,31,0,0,NULL,24.4,NULL,NULL,13,22,19
1355,Diferencial Trasero,283969,2,22729,1188,2019-04-03 00:00:00.000,87,4,9,12,0,0,0,0,45,35,4,0,1,1,10,0,8,N,NULL,NULL,23/21/14,6,0,350,2,1,303,34,0,0,NULL,23.8,NULL,NULL,14,23,21
1355,Masa Derecha,273548,2,21950,409,2019-02-20 00:00:00.000,103,NULL,NULL,NULL,NULL,0,11,1,1,42,0,0,4,0,55,3,11,N,NULL,NULL,G-NM1,21,0,295,3,0,294,10,0,1,NULL,24.9,NULL,NULL,NULL,NULL,NULL
1355,Masa Izquierda,294813,1,23153,424,2019-05-12 00:00:00.000,102,NULL,NULL,NULL,NULL,0,0,0,1,15,0,0,3,0,10,1,5,N,NULL,NULL,22/20/16,3,0,398,2,0,339,36,0,0,NULL,24.1,NULL,NULL,16,22,20
1355,Transmisión,284161,1,22729,380,2019-04-03 00:00:00.000,4,NULL,NULL,NULL,NULL,0,1,0,2,4,0,1,0,0,6,0,1,N,NULL,N,21/17/12,5,0,3304,11,0,888,1103,0,0,NULL,10.8,NULL,NULL,12,21,17
1356,Diferencial Trasero,155978,1,27624,258,2017-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,0,1,1,17,9,1,0,0,1,10,1,2,N,NULL,NULL,211916,31,0,2125,7,0,780,935,0,0,NULL,24.5,NULL,NULL,16,21,19
1356,Motor,295810,3,28295,NULL,2019-05-17 00:00:00.000,47,10,25,29,77,0,4,1,3,90,2,39,0,0,9,1,13,N,N,N,NULL,5,0,1889,466,1,903,1122,0,0,NULL,14.2,10.4,NULL,NULL,NULL,NULL
1357,Sist de Dirección,156984,1,27876,519,2017-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,0,2,1,3,3,1,1,0,0,4,1,4,N,NULL,NULL,211915,3,0,2510,9,0,822,1040,0,0,NULL,11.6,NULL,NULL,15,21,19
1357,Transmisión,156983,1,27876,788,2017-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,0,2,1,3,5,0,1,0,0,3,1,2,N,NULL,NULL,211915,4,0,2489,8,0,813,1007,0,0,NULL,11.6,NULL,NULL,15,21,19
1359,Convertidor,254898,1,46874,886,2018-10-20 00:00:00.000,1.1,NULL,NULL,NULL,NULL,0.1,2.1,0.1,1.1,4.7,0.3,4.5,0.4,0.1,3.8,0.3,2.8,NULL,NULL,NULL,19/17/13,0,0.2,2264,14.2,0.1,432,1152,0.1,0.2,10.73,NULL,NULL,NULL,NULL,NULL,NULL
1359,Convertidor,279962,1,49236,610,2019-03-21 00:00:00.000,6.4,NULL,NULL,NULL,NULL,0.1,1.2,0.1,1,6.1,0.1,2,0.6,0.1,3.3,0.1,1.9,NULL,NULL,NULL,16/14/13,0,0.1,1833,13.2,0.4,670,996,0.2,0.1,11.11,NULL,NULL,NULL,NULL,NULL,NULL
1359,Diferencial Trasero,207557,1,44006,3119,2018-04-19 00:00:00.000,73.2,NULL,18.49,NULL,NULL,0.1,0.1,0.4,25.9,46.1,1,0.7,0.6,0.1,2.6,0.1,8.8,NULL,NULL,NULL,18/15/13,5,0.1,296,2.2,0.1,287,101,0.1,0.2,NULL,NULL,NULL,1.1,NULL,NULL,NULL
1359,Diferencial Trasero,207559,1,44304,8,2018-05-08 00:00:00.000,90.7,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.6,0.1,1.8,0.1,4.3,NULL,NULL,NULL,17/15/9,0,0.1,175,2.9,0.1,249,9.6,0.1,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Diferencial Trasero,207560,1,44460,164,2018-05-19 00:00:00.000,86,NULL,NULL,NULL,NULL,0.2,0.1,0.3,14.3,21.6,0.2,0.6,0.5,0.1,5.6,0.1,5.4,NULL,NULL,NULL,18/16/13,0,0.1,251,2.6,1.3,235,57.3,0.1,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1359,Diferencial Trasero,254274,3,46670,2374,2018-10-06 00:00:00.000,82.9,NULL,NULL,NULL,NULL,0.1,0.1,0.3,66.4,39.5,7.1,1,1.3,3.5,4.4,0.4,8.8,NULL,NULL,NULL,NULL,10,0.1,277,3.7,0.1,171,57.8,0.1,0.7,23.96,NULL,NULL,NULL,NULL,NULL,NULL
