Equipo,Componente,Id,Resultado,Horas Funcionamiento,Horas del Aceite,Fecha de Análisis,B,Nit,Oxi,Sul,St,V,Al,Cr,Cu,Fe,Pb,Mo,Ni,Sn,Si,K,Na,W,F,A,ISO,PQI,Ba,Ca,Mg,Mn,P,Zn,Ag,Ti,V40,V100,TBN,TAN,ISO14,ISO4,ISO6
1372,Convertidor,248945,2,44396,832,2018-11-13 00:00:00.000,15,NULL,NULL,NULL,NULL,0,0,0,5,9,1,1,0,0,3,0,2,N,NULL,NULL,201814,2,0,2965,14,0,814,979,0,0,NULL,11.9,NULL,NULL,14,20,18
1372,Convertidor,274818,1,45973,407,2019-02-26 00:00:00.000,9,NULL,NULL,NULL,NULL,0,1,0,3,8,1,1,0,0,4,1,3,N,NULL,NULL,201814,4,0,3300,12,0,889,1049,0,0,NULL,12,NULL,NULL,14,20,18
1372,Diferencial Trasero,188365,2,39786,2987,2018-03-13 00:00:00.000,106,4,10,12,0,0,0,0,52,26,5,0,0,2,2,0,5,N,NULL,NULL,22/18/15,38,0,322,1,0,304,26,0,0,NULL,24,NULL,NULL,15,22,18
1372,Diferencial Trasero,286082,1,46788,2839,2019-04-13 00:00:00.000,110,4,9,12,0,0,0,0,24,15,2,0,0,1,3,0,8,N,NULL,NULL,221814,9,0,404,2,0,342,47,0,0,NULL,24,NULL,NULL,14,22,18
1372,Diferencial Trasero,295060,1,47220,432,2019-05-13 00:00:00.000,114,4,7,12,0,0,0,0,29,19,2,0,1,1,4,0,8,N,NULL,NULL,22/18/13,1,0,453,2,0,342,65,0,0,NULL,23.3,NULL,NULL,13,22,18
1372,Mando Final TD,226176,2,42703,5904,2018-08-18 00:00:00.000,102,4,10,13,0,0,0,0,63,41,7,0,1,2,3,0,5,N,NULL,NULL,221511,14,0,331,2,1,337,28,0,0,NULL,23.7,NULL,NULL,11,22,15
1372,Mando Final TD,259554,1,45175,1226,2018-12-25 00:00:00.000,99,4,9,12,0,0,0,0,43,26,5,0,1,1,2,0,5,N,NULL,NULL,221713,25,0,362,2,0,339,34,0,0,NULL,24.2,NULL,NULL,13,22,17
1372,Mando Final TI,226177,2,42703,5904,2018-08-18 00:00:00.000,101,4,10,13,0,0,0,0,63,41,7,0,1,2,3,0,5,N,NULL,NULL,221611,11,0,337,2,1,339,29,0,0,NULL,24.1,NULL,NULL,11,22,16
1372,Mando Final TI,242183,2,43949,1246,2018-10-22 00:00:00.000,114,4,8,12,0,0,0,0,24,19,2,0,1,1,2,0,5,N,NULL,NULL,S-M,18,0,381,2,0,345,40,0,0,NULL,24.1,NULL,NULL,NULL,NULL,NULL
1372,Mando Final TI,274781,1,45973,2024,2019-02-26 00:00:00.000,104,5,12,15,0,0,0,0,46,30,5,0,1,1,4,0,6,N,NULL,NULL,221714,11,0,386,2,0,340,37,0,0,NULL,23.9,NULL,NULL,14,22,17
1374,Sist de Dirección,261227,1,43378,1622,2019-01-01 00:00:00.000,2,NULL,NULL,NULL,NULL,0,1,0,1,2,0,0,0,0,3,1,1,N,NULL,N,191715,18,0,3340,13,0,856,1060,0,0,NULL,10.6,NULL,NULL,15,19,17
1374,Sist de Dirección,290833,2,45417,402,2019-04-25 00:00:00.000,6,NULL,NULL,NULL,NULL,0,1,0,0,2,0,2,0,0,16,0,0,N,NULL,N,23/22/17,2,0,3434,24,0,905,1104,0,0,NULL,11.1,NULL,NULL,17,23,22
1374,Sist de Dirección,295878,2,45789,771,2019-05-18 00:00:00.000,7,NULL,NULL,NULL,NULL,0,1,0,1,2,0,2,0,0,20,1,1,N,NULL,N,22/22/17,2,0,3474,17,0,879,1078,0,0,NULL,12.1,NULL,NULL,17,22,22
1374,Sist. Hidráulico,189145,3,38717,87,2018-03-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,E,NULL,NULL,H2O,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1374,Sist. Hidráulico,191644,3,38838,208,2018-03-30 00:00:00.000,31,NULL,NULL,NULL,NULL,0,2,0,71,19,3,1,1,2,11,0,15,N,NULL,NULL,G-MN1,2,0,2906,8,0,860,1083,0,0,NULL,6.9,NULL,NULL,NULL,NULL,NULL
1374,Sist. Hidráulico,224674,2,40946,1136,2018-08-12 00:00:00.000,6,NULL,NULL,NULL,NULL,0,1,0,10,21,2,1,0,1,9,0,1,N,NULL,NULL,23/20/15,2,0,3308,9,0,905,1108,0,0,NULL,6.5,NULL,NULL,15,23,20
1374,Sist. Hidráulico,229283,2,41312,366,2018-08-31 00:00:00.000,2,NULL,NULL,NULL,NULL,0,1,1,6,16,0,0,0,0,9,0,1,N,NULL,NULL,23/21/14,9,0,3215,10,0,857,1087,0,0,NULL,6.4,NULL,NULL,14,23,21
1374,Sist. Hidráulico,249948,2,42564,1251,2018-11-17 00:00:00.000,3,NULL,NULL,NULL,NULL,0,3,0,3,17,2,1,2,0,10,1,3,N,NULL,N,21/18/12,5,0,3130,12,0,853,1056,0,0,NULL,6.5,NULL,NULL,12,21,18
1374,Sist. Hidráulico,256278,2,43003,439,2018-12-10 00:00:00.000,3,NULL,NULL,NULL,NULL,0,2,0,2,12,1,1,1,0,9,1,1,N,NULL,N,22/19/15,3,0,3161,10,0,867,1075,0,0,NULL,6.6,NULL,NULL,15,22,19
1374,Sist. Hidráulico,284080,2,45015,1637,2019-04-03 00:00:00.000,3,NULL,NULL,NULL,NULL,0,8,1,2,27,1,0,5,0,20,3,3,N,NULL,N,22/19/14,7,0,3042,10,0,816,1021,0,0,NULL,7.1,NULL,NULL,14,22,19
1374,Transmisión,212267,2,40146,1244,2018-06-18 00:00:00.000,0,NULL,NULL,NULL,NULL,0,2,0,7,12,1,1,0,1,4,1,4,N,NULL,NULL,20/18/15,1,0,3278,14,0,883,1122,0,0,NULL,11.4,NULL,NULL,15,20,18
1374,Transmisión,224675,1,40946,451,2018-08-12 00:00:00.000,5,NULL,NULL,NULL,NULL,0,1,0,3,5,1,1,0,0,5,0,1,N,NULL,NULL,22/17/14,16,0,3377,11,0,884,1096,0,0,NULL,11,NULL,NULL,14,22,17
1374,Transmisión,259180,1,43234,231,2018-12-23 00:00:00.000,5,NULL,NULL,NULL,NULL,0,1,0,1,6,1,0,0,0,3,1,4,N,NULL,N,211916,3,0,3224,13,0,858,1059,0,0,NULL,11.1,NULL,NULL,16,21,19
1374,Transmisión,266961,2,43783,780,2019-01-23 00:00:00.000,5,NULL,NULL,NULL,NULL,0,1,0,1,13,1,1,0,0,5,0,2,N,NULL,N,211815,10,0,3271,12,0,883,1089,0,0,NULL,11,NULL,NULL,15,21,18
1375,Convertidor,286740,3,50221,333,2019-04-14 00:00:00.000,2,NULL,NULL,NULL,NULL,0.1,1,0.1,0.8,7,0.1,4.3,0.8,0.1,7.8,0.1,0.9,NULL,NULL,NULL,19/17/15,0,0.1,2051,15.3,0.7,871,1134,0.1,0.7,10.73,NULL,NULL,NULL,NULL,NULL,NULL
1375,Diferencial Trasero,255079,3,47278,1832,2018-10-27 00:00:00.000,86.6,NULL,NULL,NULL,NULL,0.1,0.7,0.5,70.9,52.8,8.4,0.4,1.2,0.1,6.3,0.3,9.2,NULL,NULL,NULL,20/17/12,8,0.3,348,3.7,0.9,188,76.6,0.1,0.1,22.95,NULL,NULL,NULL,NULL,NULL,NULL
1375,Mando Final TD,262656,3,48549,3103,2019-01-08 00:00:00.000,83.1,NULL,NULL,NULL,NULL,0.1,0.1,0.5,78,69.8,8.4,0.1,0.7,0.1,6.6,0.2,8.5,NULL,NULL,NULL,20/17/13,0,0.2,305,3.4,0.1,271,84.2,0.1,0.1,23.7,NULL,NULL,NULL,NULL,NULL,NULL
1375,Mando Final TD,267643,3,48897,3451,2019-01-27 00:00:00.000,75.4,NULL,NULL,NULL,NULL,0.1,0.1,0.6,73.7,55.9,6.2,0.1,0.3,1.1,0.8,0.3,9.4,NULL,NULL,NULL,19/16/<1,14,0.1,295,2,1.5,222,86.3,0.1,0.1,22.6,NULL,NULL,NULL,NULL,NULL,NULL
1375,Mando Final TD,272207,3,49209,3763,2019-02-16 00:00:00.000,81.1,NULL,NULL,NULL,NULL,1.6,0.1,0.6,80.2,72.5,7.9,0.8,0.7,0.8,6.9,0.2,9.4,NULL,NULL,NULL,21/18/11,7,0.2,301,2.9,0.1,302,82.7,0.1,0.7,22.59,NULL,NULL,NULL,NULL,NULL,NULL
1375,Mando Final TI,254480,3,47009,1563,2018-10-13 00:00:00.000,83.9,NULL,NULL,NULL,NULL,0.1,0.2,0.4,67.4,49.1,8.8,0.6,0.9,0.2,5.6,0.1,8.7,NULL,NULL,NULL,20/16/12,10,0.3,322,3.4,0.8,255,78.2,0.1,0.2,22.83,NULL,NULL,NULL,NULL,NULL,NULL
1375,Mando Final TI,262655,3,48549,3103,2019-01-08 00:00:00.000,84.5,NULL,NULL,NULL,NULL,0.1,0.1,0.6,78.1,69.4,8.6,0.2,0.3,0.1,8.8,0.3,8.9,NULL,NULL,NULL,19/16/11,0,0.2,299,3.6,0.1,272,83.1,0.1,0.2,23.73,NULL,NULL,NULL,NULL,NULL,NULL
1375,Mando Final TI,277086,3,49543,4097,2019-03-08 00:00:00.000,78.8,NULL,NULL,NULL,NULL,0.1,0.1,0.6,83.9,68.9,8,0.1,0.4,1.3,3.7,0.3,8.3,NULL,NULL,NULL,22/21/17,14,0.2,268,2.5,0.7,282,102,0.1,0.1,22.55,NULL,NULL,NULL,NULL,NULL,NULL
1375,Masa Derecha,286744,1,50221,678,2019-04-14 00:00:00.000,79,NULL,NULL,NULL,NULL,0.2,0.1,0.2,0.2,8.2,0.1,0.3,1,0.1,3.3,0.1,4.1,NULL,NULL,NULL,19/18/15,0,0.1,262,2.7,0.6,185,24.6,0.1,0.1,23.21,NULL,NULL,NULL,NULL,NULL,NULL
1374,Sist de Dirección,266952,1,43783,2027,2019-01-23 00:00:00.000,3,NULL,NULL,NULL,NULL,0,1,0,0,2,1,1,0,0,4,0,1,N,NULL,N,201915,13,0,3270,12,0,873,1086,0,0,NULL,10.7,NULL,NULL,15,20,19
1374,Sist de Dirección,272681,2,44188,2432,2019-02-17 00:00:00.000,3,NULL,NULL,NULL,NULL,0,1,0,1,4,0,1,0,0,5,1,2,N,NULL,N,212016,13,0,3371,12,0,856,1062,0,0,NULL,10.9,NULL,NULL,16,21,20
1374,Sist. Hidráulico,180443,1,38063,798,2018-02-13 00:00:00.000,2,NULL,NULL,NULL,NULL,0,2,0,1,7,0,0,2,1,14,0,2,N,NULL,NULL,211916,11,0,3017,8,0,836,1066,0,0,NULL,6.6,NULL,NULL,16,21,19
1374,Sist. Hidráulico,184257,1,38314,1049,2018-02-28 00:00:00.000,0,NULL,NULL,NULL,NULL,0,2,0,0,7,0,0,2,1,12,0,1,N,NULL,NULL,18/15/13,1,0,3244,9,0,883,1118,0,0,NULL,7,NULL,NULL,13,18,15
1374,Sist. Hidráulico,190097,2,38717,87,2018-03-23 00:00:00.000,15,NULL,NULL,NULL,NULL,0,1,0,7,4,0,1,0,1,14,0,18,N,NULL,NULL,23/21/15,24,0,3166,10,0,747,1095,0,0,NULL,6.7,NULL,NULL,15,23,21
1374,Sist. Hidráulico,206474,3,39810,1180,2018-05-29 00:00:00.000,62,NULL,NULL,NULL,NULL,0,2,0,28,25,4,3,2,1,20,1,28,P,NULL,NULL,H2O,31,0,3159,16,0,916,1148,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1374,Sist. Hidráulico,237312,2,41756,810,2018-10-04 00:00:00.000,4,NULL,NULL,NULL,NULL,0,2,0,4,16,1,0,1,0,9,0,3,N,NULL,NULL,221913,16,0,3179,10,0,864,1080,0,0,NULL,6.8,NULL,NULL,13,22,19
1374,Sist. Hidráulico,243197,2,42158,402,2018-10-26 00:00:00.000,0,NULL,NULL,NULL,NULL,0,2,0,4,15,2,0,1,0,10,0,1,N,NULL,NULL,22/18/12,5,0,3370,9,0,919,1143,0,0,NULL,6.5,NULL,NULL,12,22,18
1374,Sist. Hidráulico,266949,2,43783,405,2019-01-23 00:00:00.000,2,NULL,NULL,NULL,NULL,0,3,0,1,12,1,0,1,0,9,0,2,N,NULL,N,222016,13,0,3161,10,0,872,1080,0,0,NULL,6.6,NULL,NULL,16,22,20
1374,Transmisión,187735,1,38630,845,2018-03-16 00:00:00.000,0,NULL,NULL,NULL,NULL,0,1,1,6,6,2,2,0,1,6,0,3,N,NULL,NULL,201612,2,0,3203,12,0,868,1077,0,0,NULL,10.7,NULL,NULL,12,20,16
1374,Transmisión,200614,2,39507,877,2018-05-06 00:00:00.000,2,NULL,NULL,NULL,NULL,0,1,0,5,7,1,0,0,0,3,0,1,N,NULL,NULL,O,9,0,3299,14,0,891,1126,0,0,NULL,11.1,NULL,NULL,NULL,NULL,NULL
1374,Transmisión,249891,1,42564,406,2018-11-17 00:00:00.000,5,NULL,NULL,NULL,NULL,0,1,0,1,6,1,2,0,0,4,0,3,N,NULL,N,20/16/12,2,0,3188,16,0,846,1059,0,0,NULL,11,NULL,NULL,12,20,16
1375,Convertidor,202476,1,44279,NULL,2018-05-05 00:00:00.000,3,NULL,NULL,NULL,NULL,0,1,0,1,4,1,0,0,0,3,0,1,N,NULL,NULL,191713,12,0,3263,9,0,868,1104,0,0,NULL,11.2,NULL,NULL,13,19,17
1375,Convertidor,262649,1,48549,144,2019-01-08 00:00:00.000,1.1,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.7,4.3,0.1,1.2,0.1,0.1,6.4,2.8,2.4,NULL,NULL,NULL,20/18/13,0,0.2,2061,12.9,0.1,829,1162,0.1,0.1,11.04,NULL,NULL,NULL,NULL,NULL,NULL
1375,Diferencial Trasero,257931,3,48185,2739,2018-12-17 00:00:00.000,82.1,NULL,NULL,NULL,NULL,0.1,0.1,0.5,79.1,60.8,6.2,0.1,0.1,3.5,6.1,0.2,9.7,NULL,NULL,NULL,16/14/<1,0,0.2,270,2.7,0.1,286,73.7,0.1,0.2,23.21,NULL,NULL,NULL,NULL,NULL,NULL
1375,Diferencial Trasero,286745,1,50221,678,2019-04-14 00:00:00.000,76,NULL,20.7,NULL,NULL,0.1,0.1,0.1,23,16.3,0.1,1.3,0.6,0.6,2.4,0.1,4.6,NULL,NULL,NULL,18/16/11,0,0.1,242,3.2,0.3,190,31.4,0.1,0.3,23.31,NULL,NULL,1.3,NULL,NULL,NULL
1375,Diferencial Trasero,292421,1,50528,985,2019-05-03 00:00:00.000,86,NULL,16,NULL,NULL,0.1,0.4,0.1,28.6,19.7,1.1,0.1,0.5,0.1,3.5,0.1,5.1,NULL,NULL,NULL,19/17/13,0,0.1,244,2.9,0.1,207,40.8,0.1,0.1,23.35,NULL,NULL,1.3,NULL,NULL,NULL
1375,Mando Final TI,267642,3,48897,3451,2019-01-27 00:00:00.000,77,NULL,NULL,NULL,NULL,0.1,0.1,0.6,75.8,56.3,6.5,0.1,1.2,2,0.3,0.4,9.1,NULL,NULL,NULL,19/16/8,16,0.1,294,2.1,1,229,89,0.1,0.1,22.6,NULL,NULL,NULL,NULL,NULL,NULL
1375,Mando Final TI,286746,1,50221,678,2019-04-14 00:00:00.000,76.7,NULL,NULL,NULL,NULL,0.1,0.1,0.1,24.2,17.5,0.1,1.3,0.6,0.3,3.2,0.1,5.1,NULL,NULL,NULL,18/16/13,3,0.1,262,2.6,0.7,184,29,0.1,0.4,23.32,NULL,NULL,NULL,NULL,NULL,NULL
1375,Masa Izquierda,255077,1,47278,521,2018-10-27 00:00:00.000,92.6,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.2,7.4,0.1,0.1,0.4,0.1,1.6,0.1,4.4,NULL,NULL,NULL,22/20/17,0,0.1,215,2,0.4,157,12.1,0.1,0.1,24.08,NULL,NULL,NULL,NULL,NULL,NULL
1375,Masa Izquierda,257929,1,48185,907,2018-12-17 00:00:00.000,93.6,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.1,10.6,0.1,0.1,0.1,0.4,4.2,0.2,5,NULL,NULL,NULL,20/17/10,0,0.1,182,1.9,0.1,275,14.7,0.1,0.2,24.18,NULL,NULL,NULL,NULL,NULL,NULL
1375,Masa Izquierda,277083,1,49543,646,2019-03-08 00:00:00.000,75.2,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.1,6.3,0.1,0.1,0.3,0.1,0.9,0.1,3.9,NULL,NULL,NULL,20/18/13,0,0.1,322,2,0.1,330,130,0.1,0.1,21.49,NULL,NULL,NULL,NULL,NULL,NULL
1375,Motor,205073,3,44552,NULL,2018-05-20 00:00:00.000,62,7,16,21,30,0,3,0,1,17,2,73,0,0,2,132,15,N,N,NULL,NULL,9,0,1915,385,0,1089,1290,0,0,NULL,14.6,NULL,NULL,NULL,NULL,NULL
1375,Transmisión,255073,1,47278,269,2018-10-27 00:00:00.000,0.9,NULL,NULL,NULL,NULL,0.3,2.1,0.1,0.8,4.4,0.5,3,0.2,0.1,6,0.5,2.2,NULL,NULL,NULL,17/16/12,0,0.1,2257,14.3,0.5,754,1226,0.1,0.1,10.83,NULL,NULL,NULL,NULL,NULL,NULL
1375,Transmisión,267634,1,48897,348,2019-01-27 00:00:00.000,4.3,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.5,2.6,0.1,0.3,0.1,0.1,8.6,1.6,4.3,NULL,NULL,NULL,21/18/11,0,0.1,1944,12.5,0.1,741,1091,0.1,0.1,11.1,NULL,NULL,NULL,NULL,NULL,NULL
1375,Transmisión,277079,3,49543,334,2019-03-08 00:00:00.000,3.3,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.6,0.9,0.1,0.1,0.1,0.1,2.6,0.5,2.3,NULL,NULL,NULL,20/18/16,0,0.1,1982,12.5,0.1,1015,1363,0.1,0.1,10.94,NULL,NULL,NULL,NULL,NULL,NULL
1375,Transmisión,289455,1,50309,88,2019-04-21 00:00:00.000,0.5,NULL,NULL,NULL,NULL,0.6,0.6,0.1,0.3,2,0.1,0.1,0.1,0.1,3.2,0.1,2.3,NULL,NULL,NULL,18/17/15,0,0.1,2220,11.2,0.1,922,1324,0.1,0.4,10.73,NULL,NULL,NULL,NULL,NULL,NULL
1375,Transmisión,290972,3,50418,197,2019-04-27 00:00:00.000,1.2,NULL,NULL,NULL,NULL,0.3,0.9,0.1,0.6,5,0.2,4.4,0.2,0.1,7.1,0.1,0.6,NULL,NULL,NULL,21/19/16,0,0.1,1777,13.6,0.1,738,1137,0.1,0.6,10.7,NULL,NULL,NULL,NULL,NULL,NULL
1375,Transmisión,292413,1,50528,307,2019-05-03 00:00:00.000,1.5,NULL,NULL,NULL,NULL,0.1,1.7,0.1,0.3,6.1,0.3,0.1,0.1,0.1,5.9,0.1,0.9,NULL,NULL,NULL,15/14/11,0,0.1,1635,13.3,0.1,906,1184,0.1,0.3,10.68,NULL,NULL,NULL,NULL,NULL,NULL
1376,Convertidor,202904,1,43671,NULL,2018-05-13 00:00:00.000,2,NULL,NULL,NULL,NULL,1,1,1,1,3,1,2,0,1,4,0,1,N,NULL,NULL,211612,10,0,3017,7,0,791,1011,0,0,NULL,11.4,NULL,NULL,12,21,16
1376,Convertidor,271511,1,48132,672,2019-02-13 00:00:00.000,2.7,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.6,4.7,0.1,0.1,0.9,0.1,5.2,0.3,3,NULL,NULL,NULL,17/16/13,0,0.1,1949,12.7,0.1,809,1174,0.1,0.1,10.85,NULL,NULL,NULL,NULL,NULL,NULL
1376,Diferencial Trasero,202905,1,43671,NULL,2018-05-13 00:00:00.000,99,NULL,NULL,NULL,NULL,1,0,1,32,32,2,1,1,2,2,0,6,N,NULL,NULL,211712,7,0,301,1,0,298,19,0,0,NULL,24.5,NULL,NULL,12,21,17
1376,Diferencial Trasero,209447,1,43838,NULL,2018-05-29 00:00:00.000,107,NULL,NULL,NULL,NULL,0,0,0,3,7,0,0,0,0,2,0,5,N,NULL,NULL,221813,25,0,354,2,0,343,26,0,0,NULL,23.7,NULL,NULL,13,22,18
1376,Diferencial Trasero,254819,3,46157,2344,2018-10-17 00:00:00.000,81.5,NULL,NULL,NULL,NULL,0.1,0.4,0.2,17.3,32.3,2.9,0.1,0.7,0.6,7.9,0.1,9.8,NULL,NULL,NULL,19/17/12,14,0.1,189,2.1,0.1,206,21.3,0.1,0.1,24.33,NULL,NULL,NULL,NULL,NULL,NULL
1376,Diferencial Trasero,280641,1,48792,1332,2019-03-22 00:00:00.000,82.5,NULL,15.4,NULL,NULL,0.1,0.1,0.4,7.3,21.6,0.1,0.1,1.4,0.1,0.9,0.1,5.7,NULL,NULL,NULL,16/15/14,0,0.1,209,2.6,0.4,188,13.7,0.2,0.1,23.81,NULL,NULL,1.1,NULL,NULL,NULL
1376,Diferencial Trasero,291603,1,49476,2016,2019-04-29 00:00:00.000,81.9,NULL,16.7,NULL,NULL,0.1,0.1,0.3,8.6,22.4,0.4,1.7,1.3,0.1,4,0.1,6.5,NULL,NULL,NULL,19/17/13,0,0.1,192,1.9,0.1,180,14.5,0.1,0.2,24,NULL,NULL,1.3,NULL,NULL,NULL
1376,Diferencial Trasero,291606,1,49476,2016,2019-04-29 00:00:00.000,81.9,NULL,16.7,NULL,NULL,0.1,0.1,0.3,8.6,22.4,0.4,1.7,1.3,0.1,4,0.1,6.5,NULL,NULL,NULL,19/17/13,0,0.1,192,1.9,0.1,180,14.5,0.1,0.2,24,NULL,NULL,1.3,NULL,NULL,NULL
1376,Mando Final TD,202906,1,43671,NULL,2018-05-13 00:00:00.000,99,NULL,NULL,NULL,NULL,1,0,1,32,31,3,1,1,3,2,0,7,N,NULL,NULL,211612,17,0,297,1,0,298,19,0,0,NULL,24.4,NULL,NULL,12,21,16
1376,Mando Final TD,271518,1,48132,672,2019-02-13 00:00:00.000,88.3,NULL,NULL,NULL,NULL,0.1,0.1,0.2,5.4,18.9,0.1,0.1,1.4,0.1,5,0.1,6,NULL,NULL,NULL,20/18/15,0,0.1,187,1.8,0.1,233,12.5,0.1,0.1,23.85,NULL,NULL,NULL,NULL,NULL,NULL
1376,Mando Final TD,291608,1,49476,2016,2019-04-29 00:00:00.000,80.5,NULL,NULL,NULL,NULL,0.1,0.1,0.1,8.2,22.1,0.9,2.4,1.2,0.1,3.9,0.1,6.4,NULL,NULL,NULL,19/16/13,0,0.1,197,1.9,0.1,175,12.9,0.1,0.2,23.97,NULL,NULL,NULL,NULL,NULL,NULL
1376,Mando Final TI,285294,1,49131,1671,2019-04-11 00:00:00.000,82.4,NULL,NULL,NULL,NULL,0.1,1.4,0.2,7.9,22.2,0.1,0.1,1,0.1,4.9,0.1,5.8,NULL,NULL,NULL,19/17/14,0,0.1,209,2.3,0.2,184,14,0.1,0.2,23.97,NULL,NULL,NULL,NULL,NULL,NULL
1376,Masa Derecha,209451,1,43838,NULL,2018-05-29 00:00:00.000,105,NULL,NULL,NULL,NULL,0,0,0,0,7,0,0,0,0,2,0,4,N,NULL,NULL,211713,24,0,368,2,0,342,29,0,0,NULL,24.2,NULL,NULL,13,21,17
1376,Masa Derecha,291599,1,49476,345,2019-04-29 00:00:00.000,87,NULL,NULL,NULL,NULL,0.1,0.1,0.4,0.1,19,0.1,1.9,1.6,0.1,8.6,0.1,10.2,NULL,NULL,NULL,20/18/14,0,0.1,238,2.6,0.1,195,25,0.1,0.1,23.38,NULL,NULL,NULL,NULL,NULL,NULL
1376,Masa Derecha,295769,3,49823,692,2019-05-18 00:00:00.000,83.3,NULL,NULL,NULL,NULL,0.1,0.1,0.4,0.1,24.4,0.1,0.1,1.9,0.1,9.7,0.1,11.2,NULL,NULL,NULL,20/17/14,28,0.1,236,2.4,0.1,205,26,0.1,0.1,23.43,NULL,NULL,NULL,NULL,NULL,NULL
1376,Masa Izquierda,262017,1,47460,365,2019-01-04 00:00:00.000,95.4,NULL,NULL,NULL,NULL,0.1,0.1,0.1,0.1,2.2,0.1,1.4,0.1,0.1,1,0.2,4.1,NULL,NULL,NULL,21/18/13,0,0.1,177,1.9,0.1,234,9.4,0.1,0.2,24.94,NULL,NULL,NULL,NULL,NULL,NULL
1377,Mando Final TD,274717,3,49427,1837,2019-02-24 00:00:00.000,85,NULL,NULL,NULL,NULL,0,0,0,36,15,3,0,1,1,4,1,7,N,NULL,NULL,211713,21,0,1093,5,0,519,351,0,0,NULL,17.2,NULL,NULL,13,21,17
1377,Mando Final TD,285219,1,50210,535,2019-04-09 00:00:00.000,94,NULL,NULL,NULL,NULL,0,0,0,14,11,1,0,0,1,4,0,6,N,NULL,NULL,22/18/14,6,0,500,4,0,369,97,0,0,NULL,23.5,NULL,NULL,14,22,18
1377,Mando Final TI,237377,2,46783,1312,2018-10-04 00:00:00.000,92,NULL,NULL,NULL,NULL,0,0,0,29,19,3,0,1,1,3,0,5,N,NULL,NULL,211914,17,0,687,3,0,409,174,0,0,NULL,21.1,NULL,NULL,14,21,19
1377,Mando Final TI,244982,2,47307,1836,2018-11-01 00:00:00.000,91,NULL,NULL,NULL,NULL,0,0,0,37,21,3,0,0,1,1,0,5,N,NULL,NULL,20/18/13,14,0,585,2,0,371,137,0,0,NULL,20.8,NULL,NULL,13,20,18
1377,Mando Final TI,260179,1,48375,785,2018-12-26 00:00:00.000,99,NULL,NULL,NULL,NULL,0,0,0,27,13,2,0,0,1,1,0,5,N,NULL,NULL,21/16/11,41,0,489,2,0,349,73,0,0,NULL,23.4,NULL,NULL,11,21,16
1377,Mando Final TI,274711,3,49427,1837,2019-02-24 00:00:00.000,84,NULL,NULL,NULL,NULL,0,0,0,36,15,3,0,1,1,4,1,7,N,NULL,NULL,221814,33,0,1096,5,0,528,351,0,0,NULL,17,NULL,NULL,14,22,18
1377,Mando Final TI,277344,3,49675,2085,2019-03-09 00:00:00.000,77,NULL,NULL,NULL,NULL,0,0,0,37,16,3,0,1,1,1,1,7,N,NULL,NULL,22/17/13,40,0,1060,5,0,496,348,0,0,NULL,17,NULL,NULL,13,22,17
1377,Mando Final TI,290008,1,50474,799,2019-04-22 00:00:00.000,101,NULL,NULL,NULL,NULL,0,0,0,14,12,1,0,0,1,3,0,6,N,NULL,NULL,211915,41,0,469,4,0,349,90,0,0,NULL,22.8,NULL,NULL,15,21,19
1377,Masa Derecha,218278,1,45206,554,2018-07-15 00:00:00.000,107,NULL,NULL,NULL,NULL,0,0,0,0,20,0,0,1,0,22,0,5,N,NULL,NULL,221914,30,0,352,2,0,344,26,0,0,NULL,24.6,NULL,NULL,14,22,19
1377,Masa Derecha,231615,1,46298,562,2018-09-10 00:00:00.000,105,NULL,NULL,NULL,NULL,0,0,0,0,14,0,0,2,0,6,0,4,N,NULL,NULL,211712,27,0,349,2,0,330,31,0,0,NULL,24.2,NULL,NULL,12,21,17
1377,Masa Derecha,237419,1,46783,485,2018-10-04 00:00:00.000,102,NULL,NULL,NULL,NULL,0,0,0,0,12,0,0,2,0,5,0,5,N,NULL,NULL,211813,19,0,320,3,0,322,18,0,0,NULL,24.3,NULL,NULL,13,21,18
1377,Masa Derecha,245055,1,47307,524,2018-11-01 00:00:00.000,102,NULL,NULL,NULL,NULL,0,0,0,0,11,0,0,1,0,1,0,4,N,NULL,NULL,22/20/15,17,0,312,2,0,309,24,0,0,NULL,24.9,NULL,NULL,15,22,20
1377,Masa Derecha,281122,1,49963,288,2019-03-25 00:00:00.000,106,NULL,NULL,NULL,NULL,0,0,0,0,5,0,0,1,0,3,0,6,N,NULL,NULL,21/18/13,21,0,308,3,0,307,17,0,0,NULL,25.4,NULL,NULL,13,21,18
